date,forecast,actual
2025-08-17,64.22546,63.78
2025-08-18,63.992985,64.51
2025-08-19,63.29732,63.38
2025-08-20,62.842793,64.19
2025-08-21,62.88968,64.56
2025-08-22,63.490852,64.08
2025-08-23,63.31101,64.08
2025-08-24,62.948433,64.08
2025-08-25,62.687412,65.18
2025-08-26,62.71936,63.6
2025-08-27,62.652092,64.49
2025-08-28,62.563545,64.96
2025-08-29,63.30436,64.36
2025-08-30,63.375984,64.36
2025-08-31,62.536144,64.36
2025-09-01,62.052803,64.36
2025-09-02,61.867332,65.95
2025-09-03,61.644375,64.36
2025-09-04,62.63976,63.81
2025-09-05,63.29039,62.22
2025-09-06,64.03761,62.22
2025-09-07,63.703026,62.22
2025-09-08,63.51178,62.6
2025-09-09,63.17285,62.97
2025-09-10,62.229053,64.01
2025-09-11,62.572746,62.71
2025-09-12,63.204876,63.02
2025-09-13,63.703007,63.02
2025-09-14,64.6328,63.02
2025-09-15,65.34495,63.66
