date,forecast_raw,forecast,actual
2025-08-16,63.619675,63.976456,63.78
2025-08-17,63.24517,63.555225,64.51
2025-08-18,64.49492,65.02138,63.38
2025-08-19,63.74937,63.980995,64.19
2025-08-20,64.31058,64.73261,64.56
2025-08-21,64.020065,64.31523,64.08
2025-08-22,64.16629,64.52661,64.08
2025-08-23,63.95489,64.26523,64.08
2025-08-24,63.728363,64.04457,65.18
2025-08-25,65.0026,65.51437,63.6
2025-08-26,63.660698,63.799274,64.49
2025-08-27,64.77275,65.26677,64.96
2025-08-28,64.74982,65.06139,64.36
2025-08-29,64.20117,64.448,64.36
2025-08-30,63.837788,64.12788,64.36
2025-08-31,63.914455,64.2728,64.36
2025-09-01,63.963493,64.31557,65.95
2025-09-02,65.216125,65.71657,64.36
2025-09-03,64.62456,64.84891,63.81
2025-09-04,63.00213,63.119587,62.22
2025-09-05,61.54104,61.7382,62.22
2025-09-06,61.946243,62.42991,62.22
2025-09-07,62.12687,62.567635,62.6
2025-09-08,62.08237,62.488415,62.97
2025-09-09,63.104874,63.64568,64.01
2025-09-10,64.28964,64.81314,62.71
2025-09-11,62.58456,62.704006,63.02
2025-09-12,63.03838,63.48979,63.02
2025-09-13,62.834652,63.187363,63.02
2025-09-14,62.711044,63.08123,63.66
