feature,gain
wti_lag1,21937.150390625
wti_lag2,4342.72509765625
wti_lag5,1012.4622802734375
wti_lag3,305.7664794921875
PAYEMS,75.5083999633789
ret_1,38.99591064453125
ret_2,20.612808227539062
wti_lag7,18.411527633666992
ret_5,17.933509826660156
ret_3,13.802216529846191
wti_prompt_spread,10.552330017089844
wti_contango_flag,10.413627624511719
ng_prompt_spread_lag3,9.985705375671387
yield_spread_10_2_lag3,9.45659065246582
payems_mom,9.364866256713867
ret_7,9.305204391479492
wti_roll_ann,8.949641227722168
wti_prompt_spread_lag1,8.38295841217041
payems_yoy_lag1,8.117198944091797
payems_yoy_lag3,7.825708389282227
dow,7.781476020812988
crude_inv_lag1,7.778032302856445
DGS2,7.361697196960449
DGS10,7.1237030029296875
OECDLEAD,7.007838249206543
payems_yoy,6.982940673828125
IPB50001SQ,6.845651149749756
yield_spread_10_2_lag1,6.098339557647705
crude_inv,5.822045803070068
ng_prompt_spread,5.804060935974121
crude_inv_lag3,5.6292524337768555
wti_roll_ann_lag3,5.454998016357422
wip_yoy_lag1,5.368778705596924
ng_slope_pct,5.348348140716553
res_lag2,5.299839973449707
yield_spread_10_2,5.291840076446533
wti_slope_pct,5.279829978942871
wti_roll_ann_lag1,5.166891098022461
wti_prompt_spread_lag3,5.117156982421875
oecd_yoy_lag3,4.917228698730469
oecd_yoy_lag1,4.873612403869629
wip_yoy,4.76151704788208
oecd_z,4.749721527099609
oecd_yoy,4.693892478942871
wip_yoy_lag3,4.660089492797852
res_lag1,4.566812038421631
month,4.562958717346191
ng_prompt_spread_lag1,4.549712657928467
ng_roll_ann_lag3,4.519126892089844
ng_roll_ann_lag1,4.426726341247559
res_lag3,4.258876800537109
ng_roll_ann,4.222556114196777
ng_contango_flag,2.1138992309570312
