date,forecast,actual,ar_only,residual_hat
2025-08-22,64.58387249510243,64.08,64.48916174273445,0.09471075
2025-08-23,64.2495150134868,64.08,64.15840953001445,0.09110548
2025-08-24,64.21196841609122,64.08,64.12086293261888,0.09110548
2025-08-25,64.16936467517445,65.18,64.10072418976853,0.068640485
2025-08-26,65.1000545792953,63.6,65.03032646558442,0.06972811
2025-08-27,63.900211734925286,64.49,63.816698795412556,0.08351294
2025-08-28,64.53394225804668,64.96,64.44029338477712,0.09364887
2025-08-29,64.96070355684985,64.36,64.8695980733775,0.09110548
2025-08-30,64.54655820690466,64.36,64.45184745453669,0.09471075
2025-08-31,64.49993962801723,64.36,64.40522887564926,0.09471075
2025-09-01,64.46552435772082,64.36,64.3800554470863,0.08546891
2025-09-02,64.45126274691484,65.95,64.3800554470863,0.0712073
2025-09-03,65.81106525033664,64.36,65.72375328212928,0.08731197
2025-09-04,64.65329842522743,63.81,64.55585052326325,0.0974479
2025-09-05,64.07686840703715,62.22,63.981963894870184,0.09490451
2025-09-06,62.60565136875689,62.22,62.51074685658991,0.09490451
2025-09-07,62.40678064973058,62.22,62.3118761375636,0.09490451
2025-09-08,62.32104706446696,62.6,62.24516655187178,0.07588051
2025-09-09,62.60677245756842,62.97,62.566301883517276,0.040470574
2025-09-10,62.97525560281249,64.01,62.9210002029595,0.0542554
2025-09-11,63.92113968956922,62.71,63.856748359684694,0.06439133
2025-09-12,62.950484504990456,63.02,62.88863656117785,0.061847944
2025-09-13,63.14627124816003,63.02,63.05051750391546,0.095753744
2025-09-14,63.12600333131443,63.02,63.030249587069854,0.095753744
2025-09-15,63.13189384378314,63.66,63.04325585849404,0.088637985
