date,forecast,actual,ar_only_level,residual_delta_hat
2025-08-17,63.97565569213217,63.78,63.85167444727009,0.123981245
2025-08-18,63.89723146756217,64.51,63.80088510413692,0.09634636
2025-08-19,64.66825415308877,63.38,64.41768179948731,0.25057235
2025-08-20,63.68097114252179,64.19,63.54374061214059,0.13723053
2025-08-21,64.39453452524128,64.56,64.13365828689518,0.26087624
2025-08-22,64.68940306383548,64.08,64.48853387612282,0.20086919
2025-08-23,64.3277991868649,64.08,64.15793515817265,0.16986403
2025-08-24,64.23326569737344,64.08,64.1203197235003,0.112945974
2025-08-25,64.21895482987931,65.18,64.10017188490202,0.118782945
2025-08-26,65.41349986441915,63.6,65.02959156282728,0.3839083
2025-08-27,63.77623744459622,64.49,63.81639998929374,-0.040162545
2025-08-28,64.70049425488281,64.96,64.43961801653671,0.26087624
2025-08-29,65.0596940746611,64.36,64.86895538178142,0.1907387
2025-08-30,64.6150340720915,64.36,64.45139549522631,0.16363858
2025-08-31,64.51763698573713,64.36,64.40469101186399,0.112945974
2025-09-01,64.50320690686584,64.36,64.37950621361614,0.12370069
2025-09-02,64.56848357434154,65.95,64.37950621361614,0.18897736
2025-09-03,66.16184237058107,64.36,65.72294011170808,0.43890226
2025-09-04,64.57125250410178,63.81,64.55555253822246,0.015699966
2025-09-05,64.17318901383271,62.22,63.981536090010316,0.19165292
2025-09-06,62.39388645381162,62.22,62.510465949182006,-0.116579495
2025-09-07,62.488124765517384,62.22,62.31133355951515,0.1767912
2025-09-08,62.471281886441396,62.6,62.24459384415834,0.22668804
2025-09-09,62.82078843029755,62.97,62.56566609653252,0.25512233
2025-09-10,63.20786530249473,64.01,62.920363043478694,0.28750226
2025-09-11,64.24189361078453,62.71,63.856004229614264,0.38588938
2025-09-12,63.044161385723626,63.02,62.888279578515565,0.1558818
2025-09-13,63.23898184360541,63.02,63.049923346057305,0.1890585
2025-09-14,63.19429980738332,63.02,63.02967978043725,0.16462003
2025-09-15,63.24274488790575,63.66,63.042691926198636,0.20005296
